Coin1,Coin2,Correlation,ADF Statistic,p-value
BTC,ETH,0.7673739015968425,-0.4380941344269806,0.9035415058404395
BTC,BNB,0.7904572460459224,-1.9051863694840654,0.3296252262080649
BTC,SOL,0.8109139224413554,-1.8529759780732529,0.354495480308752
BTC,USDC,0.0067481730007730055,1.375581791869522,0.9970003409611378
BTC,XRP,0.40657271932947153,-1.5572004860389677,0.5050495197097534
BTC,DOGE,0.5061313160089356,-1.3284325849031713,0.6160660917839943
BTC,ADA,0.31163706744699354,0.6344829134750647,0.988435442486471
BTC,AVAX,0.3807169660748121,1.5854830259491444,0.9978133634163056
BTC,SHIB,0.5892375112743982,-0.7877689824606452,0.8226884615397029
BTC,BCH,0.63387607565176,-0.2038883558467286,0.9380565458999293
BTC,LINK,0.7426232689147162,-2.9627827468303534,0.038519244807075755
BTC,DOT,0.11038183701716148,1.6582717589614853,0.9980222804255263
BTC,DAI,-0.20968777321385879,-0.7290682842636493,0.8390758553220832
BTC,LTC,0.3121351133440128,1.059458095487294,0.9948553195928218
BTC,NEAR,0.39941905915422665,1.3174014068587179,0.996704612286656
BTC,APT,0.2864791140452574,0.6440220593785726,0.9886519025036368
BTC,SUI,0.7280300406938138,-1.8441028259533823,0.3587959528214113
BTC,UNI,0.3775883805601276,0.9090757419099583,0.9932076315052635
BTC,ICP,0.7225645705916667,-1.2300802055681836,0.66052399830749
BTC,FET,0.8753162586721398,-1.0344241577776334,0.7405027917038055
BTC,ETC,0.21476847486141387,0.5347768732037724,0.9858926483996386
BTC,XLM,0.347634203451518,-0.1155241045807439,0.947870151460335
BTC,RENDER,0.8356428204102837,-1.4314370999713475,0.5671154714185199
BTC,AAVE,0.4244493328992464,0.493156042071143,0.9846635885531838
BTC,IMX,0.7117829584443182,0.30413264793720657,0.977533297325381
BTC,FIL,0.18504413892703556,1.2501517843157308,0.9963147121073163
BTC,ARB,-0.15422493160585315,0.8697610411021226,0.9926827343862752
BTC,OP,0.4629086306834461,1.104777795264375,0.9952571935259142
BTC,FTM,0.3505170166890823,1.2633286215741695,0.996395505691
BTC,HBAR,0.5770045475184093,-2.204137914822122,0.20474706187334124
BTC,VET,0.33961851520977854,0.7596528759599556,0.9909561694605138
BTC,ATOM,0.11145061631477328,0.8049958980309316,0.9917163846733082
BTC,BONK,0.27187591207783796,-1.1515347076512583,0.6940893769653654
BTC,GRT,0.5457415486959778,0.11945613722965502,0.9673646232095554
ETH,BNB,0.8224956453153207,-2.696087163445296,0.07471781155689869
ETH,SOL,0.8614756197983501,-3.9676404177695543,0.001589763421525106
ETH,USDC,0.004911300899927742,-1.9510077618224961,0.3084586567731292
ETH,XRP,0.2594099528765375,-2.264845523380659,0.18355670456735917
ETH,DOGE,0.6518527876842192,-2.944174131046452,0.040447032537492135
ETH,ADA,0.5917887900825275,-2.2730621190649467,0.18080319140503526
ETH,AVAX,0.7447892304403699,-1.5541477302725066,0.5065757001773892
ETH,SHIB,0.8258722773830698,-4.520363886594516,0.00018063421663089925
ETH,BCH,0.6311754198075747,-2.744083128065633,0.06671563790115767
ETH,LINK,0.8583818765199893,-3.1937696771883726,0.020348159063647175
ETH,DOT,0.5405970887877735,-0.9433757733344336,0.7733528896119326
ETH,DAI,-0.18287742678776456,-1.4688661374843455,0.5488527770560865
ETH,LTC,0.43079255951497436,-2.1738507278276953,0.21587262971180432
ETH,NEAR,0.6417527045566584,-1.3419953908641777,0.609747221005187
ETH,APT,0.3471552856934608,-1.0846545827204082,0.7211525243738164
ETH,SUI,0.3439752633082113,-1.932952856211333,0.31672131844419116
ETH,UNI,0.4510963595024395,-1.945692936466939,0.31088021413680667
ETH,ICP,0.7935699671557574,-2.7033835511433844,0.07345459480424328
ETH,FET,0.9060385331558996,-2.9251418996081266,0.04250148138791994
ETH,ETC,0.5900051178774595,-2.393588460861113,0.14355420154009058
ETH,XLM,0.37016497959627725,-2.3805904472555914,0.14728971286526182
ETH,RENDER,0.8966900262457415,-2.8520434218996167,0.051215664087791185
ETH,AAVE,0.6685609158199808,-2.4353388780082144,0.13200962275735917
ETH,IMX,0.8107733672519724,-1.653927808665226,0.4549927694914797
ETH,FIL,0.5285050882334309,-1.7551927849081326,0.4029229923221192
ETH,ARB,0.13170562729410756,-0.7252308729106708,0.8401054902216609
ETH,OP,0.6109240165785806,-0.6391322674125159,0.8618923526844431
ETH,FTM,0.6304296962516107,-1.7997090853076765,0.38060613423996026
ETH,HBAR,0.6691674490623347,-1.7676634089251808,0.39662992556798515
ETH,VET,0.5632827185148923,-2.2197624638508504,0.19915116422838824
ETH,ATOM,0.49236266381959165,-1.833621610902776,0.36390182358858036
ETH,BONK,-0.2520589305037055,-0.9232527004362826,0.7802185623674676
ETH,GRT,0.8000075760571611,-2.5967047721762726,0.0936802384096001
BNB,SOL,0.8367885330257594,-4.013107089402365,0.001343412557808505
BNB,USDC,-0.007174342773580939,-0.5747457595884328,0.8765869561624069
BNB,XRP,0.24181248737069938,-1.9293447949388545,0.3183847794019697
BNB,DOGE,0.6068843802461135,-3.1205660374238233,0.02506817484880083
BNB,ADA,0.32493520928819325,-1.8415685279506813,0.36002796454373154
BNB,AVAX,0.4849086636744409,-0.44263147259769964,0.9027338419189456
BNB,SHIB,0.7045637357934247,-2.6404332015240284,0.08492512110333966
BNB,BCH,0.5016560302731019,-2.4228584114645773,0.13538844681401646
BNB,LINK,0.6146641132354864,-1.62904206289293,0.4679921755903835
BNB,DOT,0.25522176762224735,-0.14064435706770267,0.9452366842662163
